Alcaldia,Nivel de riesgo (k),Área con riesgo k (m²),Total Área con riesgo (m²),Probabilidad p(riesgo k)
Xochimilco,1,118229101.41,228051245.39,0.5184
Xochimilco,2,17135672.82,228051245.39,0.0751
Xochimilco,3,38554840.54,228051245.39,0.1691
Xochimilco,4,17263808.78,228051245.39,0.0757
Xochimilco,5,36867821.84,228051245.39,0.1617
Benito Juárez,1,5725331.14,53360569.14,0.1073
Benito Juárez,2,2764511.26,53360569.14,0.0518
Benito Juárez,3,2392019.66,53360569.14,0.0448
Benito Juárez,4,7810779.89,53360569.14,0.1464
Benito Juárez,5,34667927.19,53360569.14,0.6497
Tláhuac,1,98148217.55,171539399.07,0.5722
Tláhuac,2,3997038.24,171539399.07,0.0233
Tláhuac,3,3797446.8,171539399.07,0.0221
Tláhuac,4,18801781.3,171539399.07,0.1096
Tláhuac,5,46794915.18,171539399.07,0.2728
Tlalpan,1,594320950.47,628507867.66,0.9456
Tlalpan,2,8602598.59,628507867.66,0.0137
Tlalpan,3,2765588.12,628507867.66,0.0044
Tlalpan,4,3293649.3,628507867.66,0.0052
Tlalpan,5,19525081.17,628507867.66,0.0311
Álvaro Obregón,1,185190963.79,191639259.14,0.9664
Álvaro Obregón,2,6448295.35,191639259.14,0.0336
Álvaro Obregón,3,0.0,191639259.14,0.0
Álvaro Obregón,4,0.0,191639259.14,0.0
Álvaro Obregón,5,0.0,191639259.14,0.0
Iztapalapa,1,40658645.96,226166871.86,0.1798
Iztapalapa,2,5843665.7,226166871.86,0.0258
Iztapalapa,3,7149120.57,226166871.86,0.0316
Iztapalapa,4,18902308.24,226166871.86,0.0836
Iztapalapa,5,153613131.39,226166871.86,0.6792
Iztacalco,1,0.0,46154087.2,0.0
Iztacalco,2,0.0,46154087.2,0.0
Iztacalco,3,0.0,46154087.2,0.0
Iztacalco,4,570052.29,46154087.2,0.0124
Iztacalco,5,45584034.91,46154087.2,0.9876
Gustavo A. Madero,1,39221896.62,175672385.9,0.2233
Gustavo A. Madero,2,6259123.24,175672385.9,0.0356
Gustavo A. Madero,3,4553734.01,175672385.9,0.0259
Gustavo A. Madero,4,28270966.96,175672385.9,0.1609
Gustavo A. Madero,5,97366665.08,175672385.9,0.5543
Cuauhtémoc,1,0.0,64998037.48,0.0
Cuauhtémoc,2,0.0,64998037.48,0.0
Cuauhtémoc,3,372472.23,64998037.48,0.0057
Cuauhtémoc,4,1740510.8,64998037.48,0.0268
Cuauhtémoc,5,62885054.45,64998037.48,0.9675
Miguel Hidalgo,1,49835480.48,92776920.94,0.5372
Miguel Hidalgo,2,1071671.38,92776920.94,0.0116
Miguel Hidalgo,3,8327307.97,92776920.94,0.0898
Miguel Hidalgo,4,11446905.85,92776920.94,0.1234
Miguel Hidalgo,5,22095555.26,92776920.94,0.2382
Venustiano Carranza,1,0.0,67672727.35,0.0
Venustiano Carranza,2,0.0,67672727.35,0.0
Venustiano Carranza,3,0.0,67672727.35,0.0
Venustiano Carranza,4,4541749.67,67672727.35,0.0671
Venustiano Carranza,5,63130977.68,67672727.35,0.9329
La Magdalena Contreras,1,124409206.79,126731593.6,0.9817
La Magdalena Contreras,2,2322386.81,126731593.6,0.0183
La Magdalena Contreras,3,0.0,126731593.6,0.0
La Magdalena Contreras,4,0.0,126731593.6,0.0
La Magdalena Contreras,5,0.0,126731593.6,0.0
Coyoacán,1,30405494.03,107759710.12,0.2822
Coyoacán,2,2504235.92,107759710.12,0.0232
Coyoacán,3,5339185.02,107759710.12,0.0495
Coyoacán,4,11267907.7,107759710.12,0.1046
Coyoacán,5,58242887.46,107759710.12,0.5405
Azcapotzalco,1,0.0,66993125.37,0.0
Azcapotzalco,2,0.0,66993125.37,0.0
Azcapotzalco,3,5673523.03,66993125.37,0.0847
Azcapotzalco,4,10892621.46,66993125.37,0.1626
Azcapotzalco,5,50426980.88,66993125.37,0.7527
Milpa Alta,1,588789912.18,596017982.19,0.9879
Milpa Alta,2,3233135.46,596017982.19,0.0054
Milpa Alta,3,0.0,596017982.19,0.0
Milpa Alta,4,2265086.93,596017982.19,0.0038
Milpa Alta,5,1729847.61,596017982.19,0.0029
Cuajimalpa de Morelos,1,142827199.16,142827199.16,1.0
Cuajimalpa de Morelos,2,0.0,142827199.16,0.0
Cuajimalpa de Morelos,3,0.0,142827199.16,0.0
Cuajimalpa de Morelos,4,0.0,142827199.16,0.0
Cuajimalpa de Morelos,5,0.0,142827199.16,0.0
